observation_stable_id	pubmed_id
OB_001795	18006689
OB_001796	18006689
OB_001797	18006689
OB_001798	18006689
OB_001799	18006689
OB_000179	18340043
OB_000017	19372390
OB_001800	15998808
OB_001801	18006689
OB_001802	18006689
OB_001803	18006689
OB_001804	18006689
OB_001805	18006689
OB_001806	18006689
OB_001807	18006689
OB_001808	18006689
OB_001809	18006689
OB_000180	12124627
OB_001810	18006689
OB_001811	15998808
OB_001812	18006689
OB_001813	18006689
OB_001814	18006689
OB_001815	18006689
OB_001816	18006689
OB_001817	18006689
OB_001818	18006689
OB_001819	18006689
OB_000181	18340043
OB_001820	18006689
OB_001821	18006689
OB_001822	15998808
OB_001823	18006689
OB_001824	18006689
OB_001825	18006689
OB_001826	18006689
OB_001827	18006689
OB_001828	18006689
OB_001829	18006689
OB_000182	18340043
OB_001830	18006689
OB_001831	18006689
OB_001832	18006689
OB_001833	15998808
OB_001834	18006689
OB_001835	18006689
OB_001836	18006689
OB_001837	18006689
OB_001838	18006689
OB_001839	18006689
OB_000183	18340043
OB_001840	18006689
OB_001841	18006689
OB_001842	18006689
OB_001843	18006689
OB_001844	15998808
OB_001845	18006689
OB_001846	18006689
OB_001847	18006689
OB_001848	18006689
OB_001849	18006689
OB_000184	18340043
OB_001850	18006689
OB_001851	18006689
OB_001852	18006689
OB_001853	18006689
OB_001854	18006689
OB_001855	15998808
OB_001856	18006689
OB_001857	18006689
OB_001858	18006689
OB_001859	18006689
OB_000185	18340043
OB_001860	18006689
OB_001861	18006689
OB_001862	18006689
OB_001863	18006689
OB_001864	18006689
OB_001865	18006689
OB_001866	15998808
OB_001867	18006689
OB_001868	18006689
OB_001869	18006689
OB_000186	18340043
OB_001870	18006689
OB_001871	18006689
OB_001872	18006689
OB_001873	18006689
OB_001874	18006689
OB_001875	18006689
OB_001876	18006689
OB_001877	15998808
OB_001878	18006689
OB_001879	18006689
OB_000187	18340043
OB_001880	18006689
OB_001881	18006689
OB_001882	18006689
OB_001883	18006689
OB_001884	18006689
OB_001885	18006689
OB_001886	18006689
OB_001887	18006689
OB_001888	15998808
OB_001889	9271578
OB_000188	18340043
OB_001890	18006689
OB_001891	18006689
OB_001892	18006689
OB_001893	18006689
OB_001894	18006689
OB_001895	18006689
OB_001896	18006689
OB_001897	18006689
OB_001898	18006689
OB_001899	18006689
OB_000189	18340043
OB_000018	19372390
OB_001900	15998808
OB_001901	18006689
OB_001902	18006689
OB_001903	18006689
OB_001904	18006689
OB_001905	18006689
OB_001906	18006689
OB_001907	18006689
OB_001908	18006689
OB_001909	18006689
OB_000190	18340043
OB_001910	18006689
OB_001911	15998808
OB_001912	18006689
OB_001913	18006689
OB_001914	18006689
OB_001915	18006689
OB_001916	18006689
OB_001917	18006689
OB_001918	18006689
OB_001919	18006689
OB_000191	12020810
OB_001920	18006689
OB_001921	18006689
OB_001922	15998808
OB_001923	18006689
OB_001924	18006689
OB_001925	18006689
OB_001926	18006689
OB_001927	18006689
OB_001928	18006689
OB_001929	18006689
OB_000192	9259555
OB_001930	18006689
OB_001931	18006689
OB_001932	18006689
OB_001933	15998808
OB_001934	18006689
OB_001935	18006689
OB_001936	18006689
OB_001937	18006689
OB_001938	18006689
OB_001939	18006689
OB_000193	18340043
OB_001940	18006689
OB_001941	18006689
OB_001942	18006689
OB_001943	18006689
OB_001944	15998808
OB_001945	18006689
OB_001946	18006689
OB_001947	18006689
OB_001948	18006689
OB_001949	18006689
OB_000194	18340043
OB_001950	18006689
OB_001951	18006689
OB_001952	18006689
OB_001953	18006689
OB_001954	18006689
OB_001955	15998808
OB_001956	18006689
OB_001957	18006689
OB_001958	18006689
OB_001959	18006689
OB_000195	18340043
OB_001960	18006689
OB_001961	18006689
OB_001962	18006689
OB_001963	18006689
OB_001964	18006689
OB_001965	18006689
OB_001966	15998808
OB_001967	18006689
OB_001968	18006689
OB_001969	18006689
OB_000196	18340043
OB_001970	18006689
OB_001971	18006689
OB_001972	18006689
OB_001973	18006689
OB_001974	18006689
OB_001975	18006689
OB_001976	18006689
OB_001977	15998808
OB_001978	18006689
OB_001979	18006689
OB_000197	18340043
OB_001980	18006689
OB_001981	18006689
OB_001982	18006689
OB_001983	18006689
OB_001984	18006689
OB_001985	18006689
OB_001986	18006689
OB_001987	18006689
OB_001988	15998808
OB_001989	18006689
OB_000198	18340043
OB_001990	18006689
OB_001991	18006689
OB_001992	18006689
OB_001993	18006689
OB_001994	18006689
OB_001995	18006689
OB_001996	18006689
OB_001997	18006689
OB_001998	18006689
OB_001999	15998808
OB_000199	18340043
OB_000019	19372390
OB_000001	19372390
OB_002000	10921902
OB_002001	18006689
OB_002002	18006689
OB_002003	18006689
OB_002004	18006689
OB_002005	18006689
OB_002006	18006689
OB_002007	18006689
OB_002008	18006689
OB_002009	18006689
OB_000200	18340043
OB_002010	18006689
OB_002011	15998808
OB_002012	18006689
OB_002013	18006689
OB_002014	18006689
OB_002015	18006689
OB_002016	18006689
OB_002017	18006689
OB_002018	18006689
OB_002019	18006689
OB_000201	18340043
OB_002020	18006689
OB_002021	18006689
OB_002022	15998808
OB_002023	18006689
OB_002024	16103914
OB_002025	16103914
OB_002026	16103914
OB_002027	16103914
OB_002028	16103914
OB_002029	16103914
OB_000202	18340043
OB_002030	16103914
OB_002031	16103914
OB_002032	16103914
OB_002033	15998808
OB_002034	16103914
OB_002035	16103914
OB_002036	16103914
OB_002037	16103914
OB_002038	16103914
OB_002039	16103914
OB_000203	10224252
OB_002040	16103914
OB_002041	16103914
OB_002042	16103914
OB_002043	16103914
OB_002044	17608836
OB_002045	16103914
OB_002046	16103914
OB_002047	16103914
OB_002048	16103914
OB_002049	16103914
OB_000204	18340043
OB_002050	16103914
OB_002051	16103914
OB_002052	16103914
OB_002053	16103914
OB_002054	16103914
OB_002055	18056421
OB_002056	16103914
OB_002057	16103914
OB_002058	16103914
